track_id,track_title,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
1,"I'm Only Me When I'm With You","Taylor Swift","Taylor Swift",2006-10-24,213053,52,0.563,0.00452,0.934,0.000807,0.103,-3.629,0.0646,143.964,4
2,Invisible,"Taylor Swift","Taylor Swift",2006-10-24,203226,49,0.612,0.637,0.394,0,0.147,-5.723,0.0243,96.001,4
3,"A Perfectly Good Heart","Taylor Swift","Taylor Swift",2006-10-24,220146,48,0.483,0.00349,0.751,0,0.128,-5.726,0.0365,156.092,4
4,"Teardrops on My Guitar - Pop Version","Taylor Swift","Taylor Swift",2006-10-24,179066,49,0.459,0.0402,0.753,0,0.0863,-3.827,0.0537,199.997,4
5,"State Of Grace (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,295413,69,0.594,0.000328,0.713,0,0.114,-5.314,0.0503,129.958,4
6,"Red (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,223093,75,0.516,0.00108,0.777,0.00000162,0.0761,-4.908,0.0375,125.047,4
7,"Treacherous (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,242720,68,0.645,0.0344,0.593,0.000127,0.13,-6.506,0.0288,109.984,4
8,"I Knew You Were Trouble (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,219760,73,0.584,0.0129,0.557,0,0.0576,-6.371,0.0342,154.008,4
9,"the 1",folklore,"Taylor Swift",2020-07-24,210251,74,0.777,0.757,0.357,0.00000728,0.108,-6.942,0.0522,139.883,4
10,Haunted,"Speak Now (Deluxe Package)","Taylor Swift",2010-01-01,242093,53,0.434,0.0769,0.944,0,0.151,-2.641,0.0581,162.02,4
11,cardigan,folklore,"Taylor Swift",2020-07-24,239560,78,0.613,0.537,0.581,0.000345,0.25,-8.588,0.0424,130.033,4
12,"the last great american dynasty",folklore,"Taylor Swift",2020-07-24,230999,69,0.686,0.467,0.662,0.0023,0.109,-8.505,0.0413,147.922,4
13,"exile (feat. Bon Iver)",folklore,"Taylor Swift",2020-07-24,285634,79,0.298,0.778,0.38,0.0000562,0.11,-8.426,0.0287,75.602,4
14,"my tears ricochet",folklore,"Taylor Swift",2020-07-24,255893,73,0.456,0.806,0.263,0,0.0749,-10.63,0.0332,129.86,4
15,mirrorball,folklore,"Taylor Swift",2020-07-24,208977,71,0.553,0.687,0.413,0.00000233,0.0594,-10.037,0.0334,110.107,4
16,seven,folklore,"Taylor Swift",2020-07-24,208906,69,0.596,0.9,0.488,0.000027,0.091,-10.769,0.0274,94.926,4
17,august,folklore,"Taylor Swift",2020-07-24,261922,79,0.532,0.538,0.623,0.0000728,0.0925,-9.208,0.0331,89.937,4
18,"All Too Well (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,329160,74,0.44,0.0171,0.528,0.00203,0.234,-7.809,0.0317,185.972,4
19,"22 (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,230960,72,0.642,0.000443,0.695,0.0000102,0.0753,-5.62,0.0281,103.984,4
20,"I Almost Do (Taylor's Version)","Red (Taylor's Version)","Taylor Swift",2021-11-12,244586,67,0.511,0.0167,0.559,0,0.113,-6.587,0.0264,145.88,4
